student_id,item_Family_Q1,item_Family_Q2,item_Family_Q3,item_Family_Q4,item_Family_Q5,item_Family_Q6,item_Family_Q7,item_Family_Q8,item_Family_Q9,item_Family_Q10,item_Family_Q11,item_Family_Q12,item_Family_Q13,item_Family_Q14,item_Family_Q15,item_Family_Q16,item_Family_Q17,item_Family_Q18,item_Family_Q19,item_Event_Q1,item_Event_Q2,item_Event_Q3,item_Event_Q4,item_Event_Q5,item_Event_Q6,item_Event_Q7,item_Scenario1_Q1,item_Scenario1_Q2,item_Scenario1_Q3,item_Scenario1_Q4,item_Scenario1_Q5
22,6,5,4,5,6,7,6,5,7,6,4,2,3,6,7,7,5,6,7,1,7,1,7,1,7,7,7,7,1,7,7
23,6,5,5,6,7,4,2,2,3,2,5,5,4,5,5,6,4,5,5,2,6,1,7,2,6,4,7,7,2,7,6
24,6,5,4,5,6,6,4,5,6,5,5,4,3,6,5,6,4,5,5,2,6,1,7,2,7,6,7,7,2,7,6
25,6,5,5,4,6,5,4,4,5,4,5,4,4,5,6,6,4,4,5,2,6,1,7,2,7,5,7,7,6,6,6
26,6,5,4,6,5,6,2,4,6,5,4,4,3,6,5,7,5,6,6,2,7,1,7,1,7,6,7,7,2,7,6
27,6,4,3,5,6,7,5,4,6,5,4,2,3,6,6,7,4,5,6,1,7,1,7,1,7,6,7,7,6,7,6
28,6,5,5,6,6,5,3,5,6,5,4,2,3,6,7,7,5,5,6,1,7,1,7,2,7,6,7,7,2,7,7
29,6,4,3,5,4,7,5,6,7,6,3,2,2,7,6,7,5,6,7,2,7,1,7,1,7,7,7,7,1,7,7
30,6,5,4,5,6,7,4,6,6,5,5,4,3,6,6,7,5,6,7,1,7,2,7,1,7,7,7,7,1,7,7
31,7,6,5,7,6,5,2,2,4,3,5,5,4,5,6,6,4,4,5,2,7,1,7,1,7,6,7,7,6,7,6
32,6,5,4,5,6,6,5,6,7,5,5,3,2,6,7,6,4,5,6,1,7,1,7,2,7,6,7,7,6,7,7
33,6,4,5,6,5,6,3,5,6,5,4,2,3,6,7,6,4,5,6,1,7,1,7,1,7,6,7,7,6,6,6
34,6,5,4,6,5,6,5,6,7,5,4,3,2,6,7,6,5,6,7,1,7,1,7,1,7,7,7,7,6,7,7
35,1,2,1,1,3,7,6,7,6,7,2,1,2,7,6,7,5,5,6,1,7,1,7,1,7,6,7,7,6,7,7
36,6,5,5,6,6,5,2,2,4,3,5,6,5,5,4,6,4,5,6,1,7,1,7,1,7,6,7,7,2,7,6
37,7,6,5,7,6,5,2,4,5,3,5,5,4,5,6,7,4,5,6,1,7,2,7,1,7,6,7,7,2,7,6
38,6,5,4,5,6,6,2,5,6,5,5,4,4,6,5,6,4,5,5,1,7,1,7,1,7,6,7,7,6,7,6
39,6,5,5,6,6,7,2,4,6,5,5,4,4,6,5,6,4,5,6,1,7,1,7,1,7,6,7,7,6,7,6
40,7,6,5,7,7,5,2,2,4,2,6,5,6,5,4,6,3,5,4,1,7,1,6,2,7,5,7,7,3,6,6
41,6,5,5,4,4,6,6,5,6,5,4,2,3,6,6,5,4,5,6,2,7,1,7,1,7,6,7,7,2,7,6
42,6,4,3,5,5,6,4,5,6,5,3,2,2,6,6,7,4,5,5,1,7,2,7,1,7,6,7,7,2,7,6
43,6,5,4,6,7,6,4,5,6,5,5,4,4,6,7,7,5,6,7,2,7,1,7,1,7,6,7,7,1,7,7
44,5,3,2,3,4,7,6,5,6,5,2,1,1,7,7,6,5,6,6,1,7,1,7,1,7,7,7,7,2,7,7
45,6,4,3,5,4,6,5,6,7,5,2,2,1,6,7,7,4,6,5,1,7,1,7,1,7,6,7,7,6,7,7
46,6,5,4,5,5,6,4,5,6,5,4,3,3,6,6,7,5,5,6,1,7,2,7,1,7,6,7,7,2,7,6
47,6,5,4,5,6,7,6,5,7,5,4,2,3,6,7,6,5,6,7,2,7,1,7,1,7,6,7,7,6,7,7
48,6,5,5,6,6,7,5,6,7,6,4,3,3,6,6,7,5,6,5,2,7,1,7,1,7,7,7,7,7,7,7
49,5,4,3,6,5,6,5,4,5,4,5,2,4,6,5,7,4,5,6,1,7,2,7,1,7,6,7,7,1,7,7
50,6,5,4,6,5,7,4,6,5,5,4,3,2,6,5,7,4,5,6,1,7,2,7,1,7,6,7,7,6,7,6
51,6,5,4,5,6,6,3,5,5,4,4,2,2,6,7,6,5,5,6,2,7,1,7,1,6,5,7,7,2,6,6
52,6,5,4,5,5,6,4,6,6,6,4,2,2,6,6,7,4,5,5,1,7,1,7,1,7,5,7,7,6,7,6
53,6,5,5,6,5,4,2,2,3,2,5,5,5,5,5,6,4,6,5,2,6,1,7,2,7,6,7,7,2,7,6
54,6,5,4,5,5,6,4,6,7,6,4,2,3,6,7,6,5,4,5,1,7,1,6,2,7,5,7,7,6,7,6
55,6,5,5,6,5,4,3,3,4,3,5,4,4,5,5,6,4,5,5,2,6,1,6,3,5,5,7,7,6,6,6
56,6,5,4,5,5,6,6,5,7,5,4,3,2,6,7,6,4,5,6,1,7,1,7,2,7,6,7,7,6,7,6
57,5,4,3,4,5,7,6,6,7,6,4,2,3,6,7,6,5,6,5,1,7,1,7,1,7,6,7,7,6,7,6
58,5,4,4,5,5,6,4,5,6,5,4,4,2,6,6,7,5,5,6,1,7,1,7,1,7,7,7,7,1,7,7
59,6,5,4,6,5,5,3,2,3,4,4,3,4,6,5,7,4,5,5,2,7,1,6,2,6,5,7,7,6,7,6
60,6,5,5,6,7,4,2,2,3,2,5,4,4,5,4,5,4,5,5,1,7,2,6,2,7,6,7,7,2,6,6
61,6,5,4,5,5,6,6,5,7,5,3,2,2,6,6,7,4,5,6,1,7,1,7,2,7,6,7,7,6,7,7
62,6,5,4,5,6,6,4,6,7,5,4,3,4,6,6,7,3,5,4,1,7,1,7,2,7,6,7,7,1,7,6
63,6,5,5,4,5,6,5,5,6,4,4,2,4,6,6,7,5,6,7,2,7,1,7,2,7,6,7,7,6,7,7
64,6,4,3,6,5,6,3,5,5,4,4,2,3,6,7,6,4,3,5,2,7,1,7,1,7,6,7,7,6,7,6
65,6,4,3,5,5,7,6,7,6,6,4,2,3,6,5,7,4,5,6,1,7,1,7,1,7,6,7,7,6,7,7
66,6,5,4,6,6,7,4,6,7,6,4,2,3,6,7,7,5,6,5,1,7,1,7,1,7,7,7,7,1,7,7
67,6,5,4,5,6,5,4,4,5,4,5,4,4,5,6,6,4,5,5,1,7,2,7,1,7,7,7,7,6,7,6
68,6,5,4,6,5,5,2,2,5,5,5,6,4,5,4,6,4,5,6,1,7,2,6,1,7,7,7,7,6,6,7
69,6,5,4,6,5,7,4,6,7,5,4,2,3,6,5,7,4,5,6,2,7,1,7,1,7,6,7,7,1,7,6
70,6,4,5,5,5,6,4,5,5,6,4,2,2,6,7,7,5,6,6,2,7,1,7,1,7,6,7,7,6,7,7
71,6,5,4,6,7,5,4,2,5,3,5,4,3,6,5,7,4,5,6,2,6,1,7,1,7,5,7,7,6,6,7
72,6,5,5,6,6,7,5,6,7,6,2,1,3,6,7,5,4,5,6,1,7,1,7,1,7,7,7,7,6,7,6
