student_id,item_Family_Q1,item_Family_Q2,item_Family_Q3,item_Family_Q4,item_Family_Q5,item_Family_Q6,item_Family_Q7,item_Family_Q8,item_Family_Q9,item_Family_Q10,item_Family_Q11,item_Family_Q12,item_Family_Q13,item_Family_Q14,item_Family_Q15,item_Family_Q16,item_Family_Q17,item_Family_Q18,item_Family_Q19,item_Event_Q1,item_Event_Q2,item_Event_Q3,item_Event_Q4,item_Event_Q5,item_Event_Q6,item_Event_Q7,item_Scenario1_Q1,item_Scenario1_Q2,item_Scenario1_Q3,item_Scenario1_Q4,item_Scenario1_Q5
282,6,6,6,7,7,4,2,2,2,2,6,6,5,4,3,5,3,5,4,1,7,2,6,3,6,5,3,2,3,3,6
286,6,5,5,6,6,4,2,2,3,2,6,6,5,3,3,4,3,5,4,2,6,2,6,3,7,5,3,2,3,2,6
293,1,1,2,1,3,7,6,7,7,7,3,1,2,7,7,7,4,5,6,1,7,1,7,1,7,7,3,2,2,2,6
311,6,4,3,5,4,6,5,6,7,6,3,2,2,7,7,6,4,5,6,1,7,1,7,1,7,7,3,2,2,1,7
329,6,6,6,7,7,3,1,2,2,2,7,7,6,3,2,3,2,4,4,2,6,2,5,3,5,4,4,3,3,4,6
334,7,6,7,7,7,2,1,2,2,1,6,6,6,4,4,5,3,5,4,4,5,3,5,3,6,4,3,2,2,3,6
339,3,2,1,2,3,6,7,6,5,7,2,1,1,7,7,7,5,6,7,1,7,1,7,1,7,7,3,1,2,2,7
340,4,2,1,3,3,6,5,6,7,6,2,1,1,7,7,7,5,6,6,1,7,1,7,1,7,7,3,1,1,2,6
345,6,5,4,5,6,5,2,4,5,4,5,4,3,6,5,6,4,5,5,1,7,2,7,2,7,6,3,2,3,3,6
361,4,2,1,2,3,6,6,5,6,7,2,1,2,7,7,7,6,6,7,1,7,1,7,1,7,7,3,2,1,2,7
367,6,5,4,5,5,6,5,6,6,5,3,2,3,6,6,7,5,6,5,1,7,1,7,1,7,6,3,2,2,3,6
375,6,5,6,5,6,4,2,2,3,2,6,6,5,4,3,4,3,5,4,3,5,2,4,4,3,3,4,3,4,3,5
379,6,6,5,6,7,4,2,2,5,2,6,5,5,4,3,4,2,4,4,1,7,1,6,2,6,5,3,2,2,3,6
388,4,3,2,3,4,6,4,5,5,6,3,2,2,6,6,7,5,5,6,1,7,1,7,1,7,6,3,2,1,2,7
420,7,6,5,6,6,4,2,2,3,2,7,6,4,6,6,7,4,5,6,1,7,1,7,1,7,6,3,2,1,2,7
443,5,4,4,5,5,6,4,5,6,5,4,3,3,6,6,7,5,6,7,1,7,2,7,2,6,6,3,2,2,3,6
450,6,5,5,6,6,4,2,2,4,2,6,6,5,4,4,5,3,5,4,2,6,2,5,4,5,4,3,2,3,3,6
454,6,4,5,6,5,4,2,4,3,3,4,4,3,6,6,5,4,5,6,2,6,2,6,2,6,4,4,2,2,3,6
519,6,6,6,6,7,4,2,2,3,2,5,4,4,5,5,6,4,5,4,1,7,2,6,2,6,5,4,2,2,3,6
525,6,4,3,5,4,6,4,5,6,5,3,2,2,6,6,7,5,4,5,2,7,1,7,1,7,6,4,2,2,3,6
529,5,4,4,5,6,6,3,5,6,4,5,3,4,6,6,7,4,5,6,1,7,2,7,1,7,6,3,1,2,1,7
537,6,5,5,6,6,4,2,3,5,3,5,4,4,5,5,6,4,5,5,2,7,1,7,1,6,6,4,2,2,3,6
539,6,5,5,6,7,3,1,2,2,1,6,5,5,4,4,5,3,4,4,1,7,1,6,2,6,5,4,3,3,4,6
540,6,5,5,6,6,4,2,3,4,2,6,6,5,4,3,5,3,5,4,2,7,1,6,2,6,5,4,3,3,3,6
541,7,6,6,7,7,4,1,3,2,2,6,6,6,4,3,5,3,5,4,1,7,2,6,3,5,4,4,3,3,3,6
547,5,4,3,4,5,6,5,6,5,5,3,2,2,6,6,7,4,5,6,2,6,1,7,1,7,6,3,2,2,3,6
563,6,5,4,5,6,5,3,4,5,4,5,3,4,6,5,6,4,5,6,2,7,1,6,2,7,5,3,2,2,3,6
593,6,6,7,7,7,3,2,2,2,2,7,7,7,3,2,4,1,4,3,2,6,3,5,4,3,1,5,3,3,4,6
594,1,1,1,1,1,7,7,7,7,7,1,1,1,7,7,7,7,5,6,1,7,1,7,1,7,7,1,1,1,1,7
598,6,5,5,6,6,4,2,3,3,2,5,5,4,5,5,6,3,4,4,2,6,2,5,3,5,4,3,2,2,2,6
619,4,3,2,4,4,6,3,5,6,5,3,2,2,6,5,7,4,5,6,2,6,1,7,1,7,6,3,1,2,2,6
620,6,5,5,6,6,4,2,2,3,2,6,6,5,5,4,5,3,4,4,1,7,2,6,2,6,5,3,2,2,3,6
637,5,4,3,4,5,6,4,6,5,6,2,1,2,6,7,6,5,5,6,1,7,1,7,1,7,6,3,2,2,1,7
639,6,6,5,6,7,4,2,2,3,2,6,5,5,5,4,6,3,5,4,1,6,2,7,2,7,5,4,2,2,3,6
654,6,5,6,6,5,4,2,4,5,4,5,4,4,5,5,6,4,5,5,1,7,1,6,2,7,5,3,2,1,2,6
682,6,5,4,6,6,5,2,1,4,4,5,4,3,6,5,6,4,5,5,2,6,1,7,2,6,5,4,2,3,3,6
689,5,4,4,4,6,5,2,5,6,5,5,4,4,5,5,6,4,5,6,3,6,2,6,2,7,7,3,2,2,2,6
690,4,3,2,3,4,6,5,6,5,5,3,2,2,6,7,7,5,4,6,1,7,1,7,1,7,6,3,2,2,3,6
725,7,6,7,7,7,2,1,1,1,1,7,7,6,1,1,1,1,1,1,3,5,2,4,4,3,2,4,3,2,4,5
772,5,4,3,4,4,6,5,6,5,6,3,2,2,6,6,7,4,5,7,2,7,1,7,1,7,6,3,2,1,2,7
793,5,4,3,4,4,6,5,6,7,6,2,1,1,7,7,7,6,6,7,1,7,1,7,1,7,7,2,1,1,1,7
810,6,6,6,7,7,4,2,2,3,2,7,7,6,3,2,3,1,2,1,2,6,1,5,2,4,3,5,3,4,4,5
840,7,6,7,7,7,4,1,2,2,1,6,7,6,3,3,4,2,5,4,1,7,2,6,2,5,4,4,2,3,3,6
907,6,5,5,6,5,5,3,5,5,4,5,4,4,5,5,6,4,5,5,2,6,1,7,2,7,6,4,2,2,3,6
965,6,6,6,7,7,3,1,2,2,1,6,7,6,3,3,4,3,5,4,1,7,2,6,3,6,5,3,2,3,4,6
