student_id,PANAS_T0_Q1,PANAS_T0_Q2,PANAS_T0_Q3,PANAS_T0_Q4,PANAS_T0_Q5,PANAS_T0_Q6,PANAS_T0_Q7,PANAS_T0_Q8,PANAS_T0_Q9,PANAS_T0_Q10,FZEK_T0_Q1_anxiety,FZEK_T0_Q1_expectation,FZEK_T0_Q2_anxiety,FZEK_T0_Q2_expectation,FZEK_T0_Q3_anxiety,FZEK_T0_Q3_expectation,FZEK_T0_Q4_anxiety,FZEK_T0_Q4_expectation,FZEK_T0_Q5_anxiety,FZEK_T0_Q5_expectation,FZEK_T0_Q6_anxiety,FZEK_T0_Q6_expectation,FZEK_T0_Q7_anxiety,FZEK_T0_Q7_expectation,FZEK_T0_Q8_anxiety,FZEK_T0_Q8_expectation,FZEK_T0_Q9_anxiety,FZEK_T0_Q9_expectation,FEEL_T0_Q1,FEEL_T0_Q2,FEEL_T0_Q3,FEEL_T0_Q4,FEEL_T0_Q5,FEEL_T0_Q6,BSCL_T0_Q1,BSCL_T0_Q2,BSCL_T0_Q3,BSCL_T0_Q4,BSCL_T0_Q5,BSCL_T0_Q6,BSCL_T0_Q7,BSCL_T0_Q8,BSCL_T0_Q9,BSCL_T0_Q10,BSCL_T0_Q11,BSCL_T0_Q12,BSCL_T0_Q13,BSCL_T0_Q14,BSCL_T0_Q15,BSCL_T0_Q16,BSCL_T0_Q17,PANAS_T1_Q1,PANAS_T1_Q2,PANAS_T1_Q3,PANAS_T1_Q4,PANAS_T1_Q5,PANAS_T1_Q6,PANAS_T1_Q7,PANAS_T1_Q8,PANAS_T1_Q9,PANAS_T1_Q10,PANAS_T2_Q1,PANAS_T2_Q2,PANAS_T2_Q3,PANAS_T2_Q4,PANAS_T2_Q5,PANAS_T2_Q6,PANAS_T2_Q7,PANAS_T2_Q8,PANAS_T2_Q9,PANAS_T2_Q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PANAS_T3_Q10,BSCL_T2_Q1,BSCL_T2_Q2,BSCL_T2_Q3,BSCL_T2_Q4,BSCL_T2_Q5,BSCL_T2_Q6,BSCL_T2_Q7,BSCL_T2_Q8,BSCL_T2_Q9,BSCL_T2_Q10,BSCL_T2_Q11,BSCL_T2_Q12,BSCL_T2_Q13,BSCL_T2_Q14,BSCL_T2_Q15,BSCL_T2_Q16,BSCL_T2_Q17
348,1,1,2,1,1,3,2,1,1,3,2,2,3,1,1,3,4,2,1,1,1,4,3,3,1,2,3,4,4,3,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,1,1,4,1,1,1,1,1,3,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,2,1,3,1,2,1,1,1,1,1,2,2,3,1,1,3,1,1,1,2,1,4,2,3,2,2,1,3,3,4,3,3,4,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2,1,2,1,1,2,2,1,1,2,2,1,2,1,1,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,2,1,3,2,1,3,2,3,3,4,3,4,2,2,2,5,5,5,1,3,4,5,4,4,3,2,3,5,4,5,3,3,5,2,3,0,3,4,1,4,0,0,3,3,1,0,4,4,4,4,4,1,1,1,1,1,4,4,2,2,5,1,1,1,1,1,4,3,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2,1,2,1,1,3,2,3,2,3,5,3,6,4,6,5,4,5,2,3,5,5,5,4,3,3,4,5,2,5,3,2,5,1,4,0,3,4,0,3,0,0,2,4,4,1,4,4,4,4,4,1,1,1,1,1,5,3,4,4,5,1,1,1,1,1,5,3,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,1,1,2,1,1,3,2,1,1,3,2,2,3,1,2,4,1,1,1,2,1,3,3,4,3,2,2,4,4,3,2,4,3,3,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,4,2,1,1,4,1,1,1,2,1,3,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,2,1,2,1,1,2,3,1,1,3,2,2,4,3,1,4,5,3,1,2,4,5,3,4,3,3,4,4,4,5,3,3,5,4,3,2,3,4,2,2,2,1,4,3,4,3,5,5,5,5,5,1,1,1,1,1,5,4,4,4,5,1,1,1,1,1,5,3,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,2,1,2,2,1,3,1,1,1,3,2,2,3,3,4,4,5,4,1,3,3,3,5,5,3,2,4,4,3,4,3,2,5,4,3,1,2,3,0,2,1,0,3,4,2,1,4,3,4,3,4,1,1,1,1,1,4,2,3,3,5,1,1,1,1,1,4,1,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,1,1,1,1,1,4,2,2,2,4,5,4,6,5,6,5,6,5,4,3,5,5,6,5,5,4,5,4,1,4,4,1,5,4,3,0,3,3,0,2,0,0,2,2,2,0,4,4,4,3,4,1,1,1,1,1,5,2,3,2,5,1,1,1,1,1,5,2,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
930,3,2,3,2,1,1,2,1,1,1,2,2,2,1,3,3,5,2,1,1,3,3,3,4,2,2,3,3,4,3,2,4,5,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,2,1,1,2,3,1,1,2,2,2,2,1,1,2,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,3,2,3,2,1,1,2,1,1,2,3,2,4,3,4,4,5,3,2,2,4,3,5,4,4,3,5,4,4,5,3,3,5,2,2,0,1,2,0,2,0,0,0,1,1,0,3,2,2,1,1,1,1,1,1,1,3,2,1,1,3,2,2,2,1,1,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,3,3,2,1,1,1,1,1,1,1,2,2,1,1,1,3,4,3,1,1,1,2,1,3,3,4,3,4,4,3,2,3,4,3,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,3,2,1,1,3,1,1,1,1,1,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,3,3,3,2,3,1,1,1,1,1,2,2,2,1,2,3,3,3,1,1,1,2,2,3,1,1,3,3,4,3,2,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,1,1,1,1,1,4,3,2,2,4,3,2,2,1,3,3,1,1,1,1,1,2,4,4,3,2,3,3,4,3,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,3,3,1,1,3,2,2,2,2,1,3,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,2,2,3,1,1,1,2,1,1,2,3,2,4,2,4,3,5,2,2,1,4,3,4,4,5,4,4,3,4,3,3,4,4,3,1,0,0,1,0,1,1,0,0,1,0,0,2,1,1,1,1,2,1,2,1,1,3,2,1,2,3,2,2,2,1,1,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,2,3,3,2,2,2,3,4,3,3,4,3,5,3,5,4,5,4,3,2,4,3,5,4,4,4,4,3,3,4,3,2,4,3,3,2,2,3,3,4,2,1,2,2,3,3,4,3,3,4,4,1,1,1,1,1,4,3,3,3,4,2,2,2,2,1,3,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,1,1,1,1,1,5,3,2,1,5,6,6,6,6,6,6,6,6,5,5,6,6,6,6,5,5,6,6,1,3,1,1,3,1,4,3,4,4,2,4,3,2,4,5,4,4,5,5,5,5,5,1,1,1,1,1,5,2,3,2,5,1,1,1,1,1,4,1,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,2,2,3,2,1,1,1,1,1,2,3,2,4,2,3,3,5,3,2,1,4,3,4,3,4,4,4,3,3,4,3,2,5,4,2,0,1,2,0,1,0,0,0,1,0,0,2,2,2,1,2,1,1,2,2,1,3,2,1,1,3,2,1,2,2,1,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,3,3,3,2,1,1,1,1,1,1,2,2,3,2,4,3,5,1,2,1,3,3,4,3,4,2,4,3,4,3,2,3,5,3,2,1,2,1,0,0,0,0,0,1,0,0,2,2,2,0,1,2,2,2,1,1,2,1,2,1,3,2,2,2,1,1,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,4,3,1,2,3,3,4,4,3,3,4,3,3,4,3,3,5,4,2,0,1,2,0,1,0,0,0,1,0,0,2,2,1,0,2,1,1,2,1,1,3,2,1,1,3,2,1,2,1,1,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,2,2,2,2,1,3,1,2,1,3,4,3,4,4,4,4,5,3,1,2,1,5,4,4,3,3,5,4,4,4,2,4,4,2,1,0,1,1,0,1,0,0,0,1,0,0,2,2,1,1,1,1,1,1,1,1,4,1,2,1,4,2,2,2,2,1,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,2,1,2,1,1,4,3,3,3,4,5,4,6,3,5,5,6,5,2,3,5,4,6,5,4,4,5,5,2,5,3,2,5,1,3,3,3,4,2,3,1,2,3,4,2,1,4,4,3,4,4,1,1,1,1,1,5,4,4,4,5,1,1,1,1,1,5,5,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,2,3,2,1,1,3,2,3,3,3,4,3,5,4,5,4,6,3,3,2,4,3,4,3,5,4,5,4,4,3,3,4,4,3,2,0,1,2,0,0,0,0,0,1,0,0,2,2,2,1,2,1,1,1,1,1,4,2,1,1,4,1,1,1,1,1,4,2,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,3,2,2,2,2,1,2,1,1,1,3,2,3,2,2,3,2,1,1,2,3,3,4,3,4,2,3,3,4,3,3,4,4,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,2,1,1,1,3,2,2,2,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,2,2,2,1,1,3,1,2,1,4,5,4,6,3,5,4,6,3,2,2,4,5,5,4,4,5,5,4,2,5,2,1,5,2,2,1,2,3,0,2,1,0,0,0,2,0,3,2,2,3,3,1,1,1,1,1,5,2,3,3,5,1,1,1,2,1,4,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,2,1,1,1,1,3,1,2,1,4,2,2,3,3,1,6,1,4,1,5,4,5,1,6,5,5,2,6,2,4,3,1,5,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,5,2,4,4,5,1,1,1,1,1,5,2,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,2,2,1,1,1,3,2,1,1,3,3,4,5,3,4,5,6,4,3,3,5,6,5,5,4,5,4,5,2,5,1,1,5,3,3,2,1,3,0,1,0,0,2,1,1,0,4,3,3,4,3,1,1,1,1,1,4,2,1,1,4,1,1,1,1,1,4,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,3,2,3,2,1,1,1,1,1,2,2,2,3,2,3,4,5,2,2,1,4,3,4,3,3,2,3,3,4,3,3,4,5,3,1,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,1,1,1,1,1,3,1,2,1,3,2,1,1,1,1,3,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0,0,0,0,1,2,0,0,3,2,1,1,2
