student_id,CCH_PRE_Q1,CCH_PRE_Q2,CCH_PRE_Q3,CCH_PRE_Q4,CCH_PRE_Q5,CCH_PRE_Q6,CCH_PRE_Q7,CCH_PRE_Q8,CCH_PRE_Q9,CCH_PRE_Q10,CCH_PRE_Q11,CCA_PRE_Q1,CCA_PRE_Q2,CCA_PRE_Q3,CCA_PRE_Q4,CCA_PRE_Q5,CCA_PRE_Q6,CCA_PRE_Q7,CCA_PRE_Q8,CCA_PRE_Q9,CCA_PRE_Q10,CCA_PRE_Q11,CCA_PRE_Q12,CCA_PRE_Q13,BI_PRE_Q1,BI_PRE_Q2,BI_PRE_Q3,BI_PRE_Q4,BI_PRE_Q5,BI_PRE_Q6,BI_PRE_Q7,BI_PRE_Q8,Hope_PRE_slider,Agency_PRE_slider,CCH_POST_Q1,CCH_POST_Q2,CCH_POST_Q3,CCH_POST_Q4,CCH_POST_Q5,CCH_POST_Q6,CCH_POST_Q7,CCH_POST_Q8,CCH_POST_Q9,CCH_POST_Q10,CCH_POST_Q11,CCA_POST_Q1,CCA_POST_Q2,CCA_POST_Q3,CCA_POST_Q4,CCA_POST_Q5,CCA_POST_Q6,CCA_POST_Q7,CCA_POST_Q8,CCA_POST_Q9,CCA_POST_Q10,CCA_POST_Q11,CCA_POST_Q12,CCA_POST_Q13,BI_POST_Q1,BI_POST_Q2,BI_POST_Q3,BI_POST_Q4,BI_POST_Q5,BI_POST_Q6,BI_POST_Q7,BI_POST_Q8,Hope_POST_slider,Agency_POST_slider
47,5.0,4.0,3.0,4.0,2.0,3.0,4.0,6.0,5.0,6.0,5.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0,5.0,4.0,3.0,4.0,2.0,3.0,4.0,6.0,5.0,6.0,5.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0
49,3.0,2.0,3.0,3.0,2.0,4.0,4.0,6.0,5.0,5.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,6.0,5.0,6.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0
52,4.0,3.0,4.0,3.0,2.0,4.0,3.0,6.0,5.0,5.0,5.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,30.0,20.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,6.0,5.0,5.0,5.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,30.0,20.0
56,5.0,4.0,5.0,6.0,5.0,6.0,4.0,6.0,5.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,30.0,20.0,5.0,4.0,5.0,6.0,5.0,6.0,4.0,6.0,5.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,30.0,20.0
60,4.0,3.0,3.0,2.0,2.0,2.0,3.0,6.0,6.0,7.0,7.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,6.0,6.0,6.0,7.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,5.0
61,5.0,5.0,6.0,7.0,4.0,5.0,4.0,6.0,5.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,35.0,20.0,5.0,5.0,6.0,7.0,4.0,5.0,4.0,6.0,5.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,35.0,20.0
67,4.0,3.0,4.0,3.0,2.0,4.0,4.0,6.0,6.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,5.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,6.0,6.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,5.0
69,5.0,4.0,5.0,6.0,4.0,5.0,4.0,6.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,20.0,5.0,4.0,5.0,6.0,4.0,5.0,4.0,6.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,20.0
72,5.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,20.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,20.0
91,5.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,15.0,5.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,15.0
94,5.0,6.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,20.0,5.0,6.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,20.0
95,5.0,6.0,5.0,6.0,5.0,6.0,5.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,40.0,25.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,40.0,25.0
98,4.0,3.0,5.0,5.0,2.0,4.0,3.0,6.0,5.0,6.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0,4.0,3.0,5.0,5.0,2.0,4.0,3.0,6.0,5.0,6.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0
105,5.0,4.0,4.0,6.0,3.0,5.0,3.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,20.0,5.0,4.0,4.0,6.0,3.0,5.0,3.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,20.0
108,5.0,4.0,5.0,6.0,3.0,4.0,5.0,6.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,35.0,20.0,5.0,4.0,5.0,6.0,3.0,4.0,5.0,6.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,35.0,20.0
110,5.0,4.0,4.0,6.0,3.0,5.0,4.0,6.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,30.0,20.0,5.0,4.0,4.0,6.0,3.0,5.0,4.0,6.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,30.0,20.0
111,4.0,3.0,4.0,5.0,2.0,3.0,4.0,6.0,5.0,5.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,20.0,10.0,4.0,3.0,4.0,5.0,2.0,3.0,4.0,6.0,5.0,5.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,20.0,10.0
112,4.0,3.0,2.0,4.0,2.0,4.0,3.0,6.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,4.0,3.0,2.0,4.0,2.0,4.0,3.0,6.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0
114,5.0,4.0,4.0,6.0,3.0,5.0,4.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,20.0,5.0,4.0,4.0,6.0,3.0,5.0,4.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,20.0
126,5.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,15.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,15.0
133,4.0,5.0,3.0,2.0,2.0,3.0,3.0,6.0,5.0,6.0,5.0,4.0,3.0,1.0,2.0,4.0,3.0,1.0,4.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,5.0,4.0,5.0,3.0,2.0,2.0,3.0,3.0,6.0,5.0,6.0,5.0,4.0,3.0,1.0,2.0,4.0,3.0,1.0,4.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,5.0
144,5.0,4.0,6.0,5.0,3.0,5.0,4.0,6.0,5.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0,5.0,4.0,6.0,5.0,3.0,5.0,4.0,6.0,5.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0
146,5.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0
147,5.0,5.0,4.0,3.0,4.0,4.0,5.0,6.0,5.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,20.0,10.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,6.0,5.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,20.0,10.0
157,5.0,4.0,5.0,6.0,2.0,4.0,4.0,6.0,5.0,5.0,5.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,30.0,20.0,5.0,4.0,5.0,6.0,2.0,4.0,4.0,6.0,5.0,5.0,5.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,30.0,20.0
158,5.0,4.0,4.0,5.0,2.0,3.0,3.0,6.0,5.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,5.0,5.0,4.0,4.0,5.0,2.0,3.0,3.0,6.0,5.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,5.0
163,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,30.0,20.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,30.0,20.0
165,5.0,5.0,4.0,6.0,3.0,4.0,4.0,6.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0,5.0,5.0,4.0,6.0,3.0,4.0,4.0,6.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0
166,5.0,4.0,5.0,6.0,4.0,5.0,3.0,6.0,5.0,4.0,5.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0,5.0,4.0,5.0,6.0,4.0,5.0,3.0,6.0,5.0,4.0,5.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0
171,5.0,4.0,3.0,5.0,2.0,4.0,4.0,6.0,5.0,6.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0,5.0,4.0,3.0,5.0,2.0,4.0,4.0,6.0,5.0,6.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0
174,5.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,35.0,20.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,35.0,20.0
184,3.0,2.0,1.0,2.0,2.0,3.0,2.0,6.0,7.0,7.0,6.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,1.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,6.0,7.0,7.0,6.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,1.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0
185,4.0,5.0,3.0,6.0,2.0,4.0,3.0,6.0,5.0,7.0,5.0,2.0,3.0,1.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,20.0,10.0,4.0,5.0,3.0,6.0,2.0,4.0,3.0,6.0,5.0,7.0,5.0,2.0,3.0,1.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,20.0,10.0
